loading	Gene.name
ENSG00000161960	0.0148970656238122	EIF4A1
ENSG00000136026	0.0147018790861792	CKAP4
ENSG00000101084	0.0146284311740419	RAB5IF
ENSG00000060558	0.0146044690335821	GNA15
ENSG00000162366	0.0145833644638929	PDZK1IP1
ENSG00000105427	0.0145807687784212	CNFN
ENSG00000167759	0.0145747905619007	KLK13
ENSG00000153048	0.014547270996718	CARHSP1
ENSG00000101294	0.0145439514947449	HM13
ENSG00000132341	0.0145433738012024	RAN
ENSG00000184182	0.0145371623083874	UBE2F
ENSG00000188643	0.0145357433673314	S100A16
ENSG00000137767	0.0144959387876826	SQOR
ENSG00000143320	0.0144934245881975	CRABP2
ENSG00000171314	0.0144778504926434	PGAM1
ENSG00000141543	0.014468503321673	EIF4A3
ENSG00000123892	0.0144644337695936	RAB38
ENSG00000136688	0.0144518265629749	IL36G
ENSG00000185624	0.0144508827105799	P4HB
ENSG00000085831	0.014446308017816	TTC39A
ENSG00000159479	0.0144359294317791	MED8
ENSG00000172936	0.0144348474553124	MYD88
ENSG00000124102	0.0144265505669564	PI3
ENSG00000143106	0.0144147696233031	PSMA5
ENSG00000173083	0.0144143789476493	HPSE
ENSG00000172382	0.0143992117378573	PRSS27
ENSG00000092295	0.0143967932132849	TGM1
ENSG00000196743	0.0143922755970284	GM2A
ENSG00000116478	0.0143847350075979	HDAC1
ENSG00000151715	0.014380645854558	TMEM45B
ENSG00000182481	0.0143781307060426	KPNA2
ENSG00000198805	0.0143737549606223	PNP
ENSG00000077684	-0.0143647579798871	JADE1
ENSG00000165474	0.0143647016055631	GJB2
ENSG00000103415	0.014358017372317	HMOX2
ENSG00000102886	0.0143525535988071	GDPD3
ENSG00000042753	0.0143496766452337	AP2S1
ENSG00000129451	0.0143493439443214	KLK10
ENSG00000111669	0.0143415400799659	TPI1
ENSG00000113648	0.014336023670404	MACROH2A1
ENSG00000077238	0.0143194394113807	IL4R
ENSG00000198932	-0.0143173644357809	GPRASP1
ENSG00000188089	0.0143088041026169	PLA2G4E
ENSG00000131462	0.0143075917665855	TUBG1
ENSG00000186832	0.0143033794423604	KRT16
ENSG00000100596	0.014303195131272	SPTLC2
ENSG00000166794	0.0142914967522274	PPIB
ENSG00000164687	0.0142886625264798	FABP5
ENSG00000167553	0.0142809199459885	TUBA1C
ENSG00000145050	0.0142801947883494	MANF
ENSG00000170545	0.0142733024206339	SMAGP
ENSG00000057149	0.0142676199286989	SERPINB3
ENSG00000013275	0.0142662254682486	PSMC4
ENSG00000135698	0.0142598769430759	MPHOSPH6
ENSG00000102547	-0.014259548043807	CAB39L
