Position	ENSG.ID	Gene.type	Gene.name	Chromosome	ENSP.ID	enr	idx_ROC
1	ENSG00000115956	protein_coding	PLEK	2	ENSP00000234313	0	1
2	ENSG00000026751	protein_coding	SLAMF7	1	ENSP00000357022	0	2
3	ENSG00000254087	protein_coding	LYN	8	ENSP00000428924	1	2
4	ENSG00000154451	protein_coding	GBP5	1	ENSP00000359488	1	3
5	ENSG00000160255	protein_coding	ITGB2	21	ENSP00000380948	1	4
6	ENSG00000143119	protein_coding	CD53	1	ENSP00000271324	1	5
7	ENSG00000081237	protein_coding	PTPRC	1	ENSP00000411355	2	5
8	ENSG00000110324	protein_coding	IL10RA	11	ENSP00000227752	3	5
9	ENSG00000090382	protein_coding	LYZ	12	ENSP00000261267	3	6
10	ENSG00000180353	protein_coding	HCLS1	3	ENSP00000320176	3	7
11	ENSG00000116824	protein_coding	CD2	1	ENSP00000358490	3	8
12	ENSG00000078081	protein_coding	LAMP3	3	ENSP00000265598	4	8
13	ENSG00000123338	protein_coding	NCKAP1L	12	ENSP00000293373	4	9
14	ENSG00000142347	protein_coding	MYO1F	19	ENSP00000344871	4	10
15	ENSG00000185811	protein_coding	IKZF1	7	ENSP00000331614	4	11
16	ENSG00000162511	protein_coding	LAPTM5	1	ENSP00000294507	4	12
17	ENSG00000169403	protein_coding	PTAFR	1	ENSP00000362965	5	12
18	ENSG00000136167	protein_coding	LCP1	13	ENSP00000381581	5	13
19	ENSG00000173193	protein_coding	PARP14	3	ENSP00000418194	5	14
20	ENSG00000140030	protein_coding	GPR65	14	ENSP00000267549	5	15
21	ENSG00000025708	protein_coding	TYMP	22	ENSP00000379038	5	16
22	ENSG00000116701	protein_coding	NCF2	1	ENSP00000356505	5	17
23	ENSG00000104951	protein_coding	IL4I1	19	ENSP00000472474	5	18
24	ENSG00000043462	protein_coding	LCP2	5	ENSP00000046794	6	18
25	ENSG00000167207	protein_coding	NOD2	16	ENSP00000300589	7	18
26	ENSG00000060558	protein_coding	GNA15	19	ENSP00000262958	8	18
27	ENSG00000140511	protein_coding	HAPLN3	15	ENSP00000352606	8	19
28	ENSG00000102265	protein_coding	TIMP1	X	ENSP00000218388	9	19
29	ENSG00000172243	protein_coding	CLEC7A	12	ENSP00000302569	9	20
30	ENSG00000160791	protein_coding	CCR5	3	ENSP00000292303	9	21
31	ENSG00000101347	protein_coding	SAMHD1	20	ENSP00000262878	9	22
32	ENSG00000000938	protein_coding	FGR	1	ENSP00000363117	9	23
33	ENSG00000172183	protein_coding	ISG20	15	ENSP00000306565	9	24
34	ENSG00000149781	protein_coding	FERMT3	11	ENSP00000279227	9	25
35	ENSG00000140678	protein_coding	ITGAX	16	ENSP00000454623	9	26
36	ENSG00000117228	protein_coding	GBP1	1	ENSP00000359504	9	27
37	ENSG00000158869	protein_coding	FCER1G	1	ENSP00000289902	9	28
38	ENSG00000163565	protein_coding	IFI16	1	ENSP00000357113	9	29
39	ENSG00000090339	protein_coding	ICAM1	19	ENSP00000264832	10	29
40	ENSG00000100368	protein_coding	CSF2RB	22	ENSP00000384053	10	30
41	ENSG00000137462	protein_coding	TLR2	4	ENSP00000260010	11	30
42	ENSG00000167208	protein_coding	SNX20	16	ENSP00000332062	11	31
43	ENSG00000163840	protein_coding	DTX3L	3	ENSP00000296161	11	32
44	ENSG00000182866	protein_coding	LCK	1	ENSP00000337825	12	32
45	ENSG00000125347	protein_coding	IRF1	5	ENSP00000245414	13	32
46	ENSG00000186517	protein_coding	ARHGAP30	1	ENSP00000356992	13	33
47	ENSG00000159403	protein_coding	C1R	12	ENSP00000438615	13	34
48	ENSG00000142089	protein_coding	IFITM3	11	ENSP00000382707	13	35
49	ENSG00000105639	protein_coding	JAK3	19	ENSP00000391676	13	36
50	ENSG00000138964	protein_coding	PARVG	22	ENSP00000391583	13	37
51	ENSG00000179583	protein_coding	CIITA	16	ENSP00000485010	13	38
52	ENSG00000100055	protein_coding	CYTH4	22	ENSP00000248901	13	39
53	ENSG00000155926	protein_coding	SLA	8	ENSP00000394049	13	40
54	ENSG00000162493	protein_coding	PDPN	1	ENSP00000294489	14	40
55	ENSG00000117091	protein_coding	CD48	1	ENSP00000484431	15	40
56	ENSG00000136286	protein_coding	MYO1G	7	ENSP00000258787	15	41
57	ENSG00000145623	protein_coding	OSMR	5	ENSP00000274276	16	41
58	ENSG00000163739	protein_coding	CXCL1	4	ENSP00000379110	17	41
59	ENSG00000085265	protein_coding	FCN1	9	ENSP00000360871	17	42
60	ENSG00000138496	protein_coding	PARP9	3	ENSP00000353512	17	43
61	ENSG00000164691	protein_coding	TAGAP	6	ENSP00000356033	17	44
62	ENSG00000158714	protein_coding	SLAMF8	1	ENSP00000289707	17	45
63	ENSG00000028137	protein_coding	TNFRSF1B	1	ENSP00000365435	18	45
64	ENSG00000172578	protein_coding	KLHL6	3	ENSP00000341342	18	46
65	ENSG00000110876	protein_coding	SELPLG	12	ENSP00000228463	18	47
66	ENSG00000185862	protein_coding	EVI2B	17	ENSP00000333779	18	48
67	ENSG00000168685	protein_coding	IL7R	5	ENSP00000306157	19	48
68	ENSG00000155307	protein_coding	SAMSN1	21	ENSP00000285670	19	49
69	ENSG00000188404	protein_coding	SELL	1	ENSP00000236147	20	49
70	ENSG00000100453	protein_coding	GZMB	14	ENSP00000216341	20	50
71	ENSG00000168461	protein_coding	RAB31	18	ENSP00000461945	20	51
72	ENSG00000140749	protein_coding	IGSF6	16	ENSP00000268389	20	52
73	ENSG00000160593	protein_coding	JAML	11	ENSP00000348635	20	53
74	ENSG00000019582	protein_coding	CD74	5	ENSP00000009530	20	54
75	ENSG00000130775	protein_coding	THEMIS2	1	ENSP00000363031	20	55
76	ENSG00000141968	protein_coding	VAV1	19	ENSP00000472929	20	56
77	ENSG00000126353	protein_coding	CCR7	17	ENSP00000246657	21	56
78	ENSG00000141506	protein_coding	PIK3R5	17	ENSP00000392812	22	56
79	ENSG00000134516	protein_coding	DOCK2	5	ENSP00000256935	22	57
80	ENSG00000128815	protein_coding	WDFY4	10	ENSP00000320563	22	58
81	ENSG00000130429	protein_coding	ARPC1B	7	ENSP00000389631	22	59
82	ENSG00000128335	protein_coding	APOL2	22	ENSP00000249066	22	60
83	ENSG00000135899	protein_coding	SP110	2	ENSP00000258381	22	61
84	ENSG00000101224	protein_coding	CDC25B	20	ENSP00000245960	22	62
85	ENSG00000128284	protein_coding	APOL3	22	ENSP00000344577	22	63
86	ENSG00000162645	protein_coding	GBP2	1	ENSP00000359497	22	64
87	ENSG00000143110	protein_coding	C1orf162	1	ENSP00000344218	22	65
88	ENSG00000187474	protein_coding	FPR3	19	ENSP00000341821	22	66
89	ENSG00000161405	protein_coding	IKZF3	17	ENSP00000344544	22	67
90	ENSG00000147443	protein_coding	DOK2	8	ENSP00000276420	22	68
91	ENSG00000101336	protein_coding	HCK	20	ENSP00000444986	22	69
92	ENSG00000102879	protein_coding	CORO1A	16	ENSP00000219150	22	70
93	ENSG00000163600	protein_coding	ICOS	2	ENSP00000319476	22	71
94	ENSG00000117090	protein_coding	SLAMF1	1	ENSP00000306190	23	71
95	ENSG00000111335	protein_coding	OAS2	12	ENSP00000342278	23	72
96	ENSG00000132274	protein_coding	TRIM22	11	ENSP00000369299	23	73
97	ENSG00000121281	protein_coding	ADCY7	16	ENSP00000378187	23	74
98	ENSG00000169245	protein_coding	CXCL10	4	ENSP00000305651	24	74
99	ENSG00000077984	protein_coding	CST7	20	ENSP00000420384	24	75
100	ENSG00000239713	protein_coding	APOBEC3G	22	ENSP00000385057	24	76
101	ENSG00000102524	protein_coding	TNFSF13B	13	ENSP00000365048	24	77
102	ENSG00000186818	protein_coding	LILRB4	19	ENSP00000375616	24	78
103	ENSG00000127954	protein_coding	STEAP4	7	ENSP00000369419	24	79
104	ENSG00000122122	protein_coding	SASH3	X	ENSP00000349359	24	80
105	ENSG00000133106	protein_coding	EPSTI1	13	ENSP00000318982	24	81
106	ENSG00000203747	protein_coding	FCGR3A	1	ENSP00000356946	25	81
107	ENSG00000132965	protein_coding	ALOX5AP	13	ENSP00000479870	25	82
108	ENSG00000100342	protein_coding	APOL1	22	ENSP00000317674	25	83
109	ENSG00000100985	protein_coding	MMP9	20	ENSP00000361405	26	83
110	ENSG00000132357	protein_coding	CARD6	5	ENSP00000254691	26	84
111	ENSG00000156587	protein_coding	UBE2L6	11	ENSP00000287156	26	85
112	ENSG00000105851	protein_coding	PIK3CG	7	ENSP00000352121	26	86
113	ENSG00000185215	protein_coding	TNFAIP2	14	ENSP00000452634	26	87
114	ENSG00000167286	protein_coding	CD3D	11	ENSP00000300692	26	88
115	ENSG00000135046	protein_coding	ANXA1	9	ENSP00000366109	26	89
116	ENSG00000026508	protein_coding	CD44	11	ENSP00000398632	26	90
117	ENSG00000125735	protein_coding	TNFSF14	19	ENSP00000469049	26	91
118	ENSG00000114013	protein_coding	CD86	3	ENSP00000332049	26	92
119	ENSG00000104972	protein_coding	LILRB1	19	ENSP00000315997	26	93
120	ENSG00000138755	protein_coding	CXCL9	4	ENSP00000354901	27	93
121	ENSG00000170581	protein_coding	STAT2	12	ENSP00000315768	27	94
122	ENSG00000140968	protein_coding	IRF8	16	ENSP00000268638	27	95
123	ENSG00000003400	protein_coding	CASP10	2	ENSP00000286186	27	96
124	ENSG00000101265	protein_coding	RASSF2	20	ENSP00000368710	27	97
125	ENSG00000140853	protein_coding	NLRC5	16	ENSP00000262510	27	98
126	ENSG00000009790	protein_coding	TRAF3IP3	1	ENSP00000355991	27	99
127	ENSG00000198223	protein_coding	CSF2RA	X	ENSP00000394227	27	100
128	ENSG00000110448	protein_coding	CD5	11	ENSP00000342681	27	101
129	ENSG00000134460	protein_coding	IL2RA	10	ENSP00000369293	27	102
130	ENSG00000115415	protein_coding	STAT1	2	ENSP00000354394	27	103
131	ENSG00000005844	protein_coding	ITGAL	16	ENSP00000349252	27	104
132	ENSG00000066294	protein_coding	CD84	1	ENSP00000312367	27	105
133	ENSG00000123329	protein_coding	ARHGAP9	12	ENSP00000377380	27	106
134	ENSG00000161921	protein_coding	CXCL16	17	ENSP00000293778	27	107
135	ENSG00000147065	protein_coding	MSN	X	ENSP00000353408	27	108
136	ENSG00000178562	protein_coding	CD28	2	ENSP00000324890	27	109
137	ENSG00000163563	protein_coding	MNDA	1	ENSP00000357123	27	110
138	ENSG00000131042	protein_coding	LILRB2	19	ENSP00000375629	27	111
139	ENSG00000089327	protein_coding	FXYD5	19	ENSP00000344254	27	112
140	ENSG00000131203	protein_coding	IDO1	8	ENSP00000430950	27	113
141	ENSG00000101916	protein_coding	TLR8	X	ENSP00000312082	27	114
142	ENSG00000137752	protein_coding	CASP1	11	ENSP00000433138	28	114
143	ENSG00000169896	protein_coding	ITGAM	16	ENSP00000441691	29	114
144	ENSG00000126264	protein_coding	HCST	19	ENSP00000246551	29	115
145	ENSG00000170542	protein_coding	SERPINB9	6	ENSP00000370074	29	116
146	ENSG00000126759	protein_coding	CFP	X	ENSP00000247153	29	117
147	ENSG00000023902	protein_coding	PLEKHO1	1	ENSP00000358120	29	118
148	ENSG00000082074	protein_coding	FYB1	5	ENSP00000427114	29	119
149	ENSG00000110934	protein_coding	BIN2	12	ENSP00000267012	29	120
150	ENSG00000011600	protein_coding	TYROBP	19	ENSP00000262629	29	121
151	ENSG00000102962	protein_coding	CCL22	16	ENSP00000219235	30	121
152	ENSG00000013725	protein_coding	CD6	11	ENSP00000323280	30	122
153	ENSG00000105122	protein_coding	RASAL3	19	ENSP00000341905	30	123
154	ENSG00000104814	protein_coding	MAP4K1	19	ENSP00000465039	30	124
155	ENSG00000171051	protein_coding	FPR1	19	ENSP00000471493	31	124
156	ENSG00000187498	protein_coding	COL4A1	13	ENSP00000364979	31	125
157	ENSG00000115232	protein_coding	ITGA4	2	ENSP00000380227	31	126
158	ENSG00000163191	protein_coding	S100A11	1	ENSP00000271638	31	127
159	ENSG00000146094	protein_coding	DOK3	5	ENSP00000349727	31	128
160	ENSG00000221963	protein_coding	APOL6	22	ENSP00000386280	31	129
161	ENSG00000136250	protein_coding	AOAH	7	ENSP00000479664	31	130
162	ENSG00000110446	protein_coding	SLC15A3	11	ENSP00000227880	31	131
163	ENSG00000183486	protein_coding	MX2	21	ENSP00000333657	31	132
164	ENSG00000103522	protein_coding	IL21R	16	ENSP00000338010	31	133
165	ENSG00000058262	protein_coding	SEC61A1	3	ENSP00000243253	31	134
166	ENSG00000160654	protein_coding	CD3G	11	ENSP00000431445	31	135
167	ENSG00000156127	protein_coding	BATF	14	ENSP00000286639	31	136
168	ENSG00000102096	protein_coding	PIM2	X	ENSP00000365692	31	137
169	ENSG00000168394	protein_coding	TAP1	6	ENSP00000346206	31	138
170	ENSG00000111348	protein_coding	ARHGDIB	12	ENSP00000228945	31	139
171	ENSG00000176014	protein_coding	TUBB6	18	ENSP00000318697	31	140
172	ENSG00000163220	protein_coding	S100A9	1	ENSP00000357727	31	141
173	ENSG00000140464	protein_coding	PML	15	ENSP00000268058	31	142
174	ENSG00000183484	protein_coding	GPR132	14	ENSP00000328818	32	142
175	ENSG00000165168	protein_coding	CYBB	X	ENSP00000367851	33	142
176	ENSG00000064886	protein_coding	CHI3L2	1	ENSP00000437082	33	143
177	ENSG00000106952	protein_coding	TNFSF8	9	ENSP00000223795	33	144
178	ENSG00000168404	protein_coding	MLKL	16	ENSP00000308351	33	145
179	ENSG00000132334	protein_coding	PTPRE	10	ENSP00000254667	34	145
180	ENSG00000167613	protein_coding	LAIR1	19	ENSP00000375622	34	146
181	ENSG00000187688	protein_coding	TRPV2	17	ENSP00000342222	34	147
182	ENSG00000137078	protein_coding	SIT1	9	ENSP00000259608	34	148
183	ENSG00000143390	protein_coding	RFX5	1	ENSP00000290524	34	149
184	ENSG00000049249	protein_coding	TNFRSF9	1	ENSP00000478699	35	149
185	ENSG00000168918	protein_coding	INPP5D	2	ENSP00000405338	35	150
186	ENSG00000122188	protein_coding	LAX1	1	ENSP00000406970	35	151
187	ENSG00000185507	protein_coding	IRF7	11	ENSP00000380697	36	151
188	ENSG00000171310	protein_coding	CHST11	12	ENSP00000305725	36	152
189	ENSG00000163568	protein_coding	AIM2	1	ENSP00000357112	36	153
190	ENSG00000169442	protein_coding	CD52	1	ENSP00000363330	36	154
191	ENSG00000108950	protein_coding	FAM20A	17	ENSP00000468308	36	155
192	ENSG00000167851	protein_coding	CD300A	17	ENSP00000353259	36	156
193	ENSG00000122862	protein_coding	SRGN	10	ENSP00000242465	36	157
194	ENSG00000168421	protein_coding	RHOH	4	ENSP00000371219	36	158
195	ENSG00000171860	protein_coding	C3AR1	12	ENSP00000302079	37	158
196	ENSG00000168071	protein_coding	CCDC88B	11	ENSP00000349238	37	159
197	ENSG00000177409	protein_coding	SAMD9L	7	ENSP00000326247	37	160
198	ENSG00000175567	protein_coding	UCP2	11	ENSP00000312029	37	161
199	ENSG00000127084	protein_coding	FGD3	9	ENSP00000364631	37	162
200	ENSG00000127507	protein_coding	ADGRE2	19	ENSP00000319883	37	163
201	ENSG00000172215	protein_coding	CXCR6	3	ENSP00000395704	38	163
202	ENSG00000113263	protein_coding	ITK	5	ENSP00000398655	38	164
203	ENSG00000186810	protein_coding	CXCR3	X	ENSP00000362795	38	165
204	ENSG00000184922	protein_coding	FMNL1	17	ENSP00000329219	38	166
